BreedingSite,Site_code,LU,Round,Season,Latitude,Longitude,Date_time,Water_temp,Air_temp,Humidity,Wind,Weather,Dimensions,dim1,dim2,Dimension,Dimension_cat,Habitat_class,Habitat_description,Current,WaterReservoir_material,BottomLayer,BottomLayer_cat,BottomLayer_cat2,BottomLayer_Leaves,BottomLayer_Mud,BottomLayer_Rocks/gravels,BottomLayer_Other,Depth,Edges,Turbidity,Pollution,Pollution_cat,Pollution_cat2,Pollution_Plastic/rubbish,Pollution_debris,Pollution_oil,Pollution_AnimalFaeces,Pollution_other,Water_colour,Shading,LandUse_village,LandUse_plantations,LandUse_fields,LandUse_forest,LandUse_fields_cassava,LandUse_fields_rice,LandUse_fields_vacant,LandUse_plantations_cashew,LandUse_plantations_rubber,LandUse_plantations_banana,Vegetation,Vegetation_cat,Vegetation_cat2,Vegetation_submerged,Vegetation_emerged,Vegetation_floating,Vegetation_algae,VegetationSurface,Predators,Predators_cat,Predators_cat2,Predators_Coleoptera,Predators_Hemiptera,Predators_Odonata,Predators_Crustacean,Predators_MsqLarvae,Predators_Fish,Predators_other,Predators_Coleoptera_Dysticidae,Predators_Coleoptera_Hydrophilidae,Predators_Hemiptera_Notonectae,Predators_Hemiptera_Corixidae,Predators_Hemiptera_Nepidae,Predators_Hemiptera_unidentified,Predators_Hemiptera_other,Predators_Odonata_Dragonflies,Predators_Odonata_Damselflies,Predators_Odonata_unidentified,Predators_Odonata_other,Predators_Crustacean_Cyclopoids,Predators_MsqLarvae_Toxorynchites,Predators_other_1,Animals,Animals_amphibian,Animals_domestic,Animals_other,VisiblePeople,Remarks,Mosquito,Unidentified,NonAnopheles,NonAnopheles_genus,NonAnopheles_genus2,Aedes,Armigeres,Culex,Malaya,Tripteroides,Anopheles,Anopheles_SppNb,Anopheles_barbirostris,Anopheles_hyrcanus,Anopheles_indefinitus,Anopheles_jamesii,Anopheles_kochi,Anopheles_maculatus,Anopheles_nivipes,Anopheles_philippinensis,Anopheles_pyretophorus,Anopheles_subpictus,Anopheles_unidentified,Anopheles_vagus
FIH03-G064,FIH03,fields,4,Rainy,12.1769102,106.8719994,31/07/2020 10:23,27,27.8,88.8,No,Cloudy,325*133,325,133,43225,Large,Stagnant temporary water bodies,Rice paddies,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,High,No,None,None,No,No,No,No,No,Brown,Partial,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,5;25,Yes,Multiple,Multiple,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,NA,1,1,1,Multiple,Multiple,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
V06-G051,V06,village,4,Rainy,12.1806489,106.8735746,08/08/2020 10:43,31.1,31,NA,Medium,Cloudy,910*623,910,623,566930,VeryLarge,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,High,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,<5,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Out of site,1,1,1,Multiple,Multiple,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1
V06-G072,V06,village,4,Rainy,12.18075,106.8733611,07/08/2020 11:04,29,28.6,NA,No,Rainy,235*230,235,230,54050,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Plastic,Plastic,Yes,No,No,No,No,Brown,None,Yes,No,No,No,No,No,No,No,No,No,Yes,Multiple,Submerged-Emerged,Yes,Yes,No,No,50;75,Yes,Multiple,Multiple,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Few,"Hors transect, next to barrier screen site",1,1,1,Multiple,Multiple,0,0,1,0,0,1,4,0,1,0,0,1,0,0,0,0,1,0,1
V06-G073,V06,village,4,Rainy,12.18069444,106.8735833,07/08/2020 11:29,29.4,33.9,66.8,No,Cloudy,500*460,500,460,230000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-oil,Yes,No,Yes,No,No,Brown,None,Yes,No,No,No,No,No,No,No,No,No,Yes,Multiple,Submerged-Emerged,Yes,Yes,No,Yes,50;75,Yes,Multiple,Multiple,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Few,"Outside transect, Lots of predators!",1,1,1,Multiple,Multiple,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
FIL03-G004,FIL03,plantations,1,Rainy,12.1801892,106.9171405,15/10/2019 10:29,26.4,32.5,57,No,Sunny,18*16,18,16,288,Small,Artificial containers,Plastic or rubbish,NA,NA,Yes,Leaves,Leaves,Yes,No,No,No,Deep,Abrupt,Little,No,None,None,No,No,No,No,No,Green,Partial,No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Yes,Multiple,Multiple,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,None,1,0,1,Multiple,Multiple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL03-G003,FIL03,plantations,1,Rainy,12.179098,106.9170523,15/10/2019 10:10,26.2,32.8,60.2,No,Sunny,70*12,70,12,840,Small,Stagnant temporary water bodies,Road tracks,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,Medium,No,None,None,No,No,No,No,No,Brown,Partial,No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Yes,Multiple,Multiple,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,None,1,0,1,Multiple,Multiple,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
V06-G007,V06,village,1,Rainy,12.1813242,106.8738696,01/11/2019 09:38,25.8,30.9,73.3,Little,Cloudy,16*16,16,16,256,Small,Artificial containers,Pots,NA,NA,Yes,Leaves,Leaves,Yes,No,No,No,Shallow,Abrupt,Little,No,None,None,No,No,No,No,No,Green,Complete,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,Algae,Algae,No,No,No,Yes,5;25,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Worms,Many,Few meters away from transect. Sampling with pipette. Metallic bucket.,1,0,1,Multiple,Multiple,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G031,FIL01,fields,4,Rainy,12.1919006,106.8054919,06/08/2020 09:36,28.2,29.2,83.3,Little,Cloudy,67*41,67,41,2747,Medium,Natural containers,Plants' axils and leaves,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,None,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Algae,Submerged,Yes,No,No,No,<5,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Worms,No,NA,1,0,1,Multiple,Multiple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G003,V06,village,1,Rainy,12.1813079,106.8752474,01/11/2019 09:36,25.8,31.8,30.4,Little,Sunny,105*105,105,105,11025,Medium,Artificial containers,Water reservoir,NA,Clay,Yes,Leaves,Leaves,Yes,No,No,No,Deep,Abrupt,None,No,None,None,No,No,No,No,No,Transparent,Complete,Yes,No,No,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2 jars. This one is 1/3 full. Covered by a metal sheet. Lot of larvae ca. 100,1,0,1,Multiple,Multiple,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOH02-G031,FOH02,forest,4,Rainy,12.2372918,106.8766693,03/08/2020 10:46,24.3,27.4,99.9,No,Rainy,10*5,10,5,50,VerySmall,Natural containers,Tree holes,NA,NA,Yes,Leaves,Leaves,Yes,No,No,No,Shallow,Shallow,Medium,No,None,None,No,No,No,No,No,Brown,Partial,No,No,No,Yes,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Multiple,Multiple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOH02-G066,FOH02,forest,4,Rainy,12.23702778,106.8772778,03/08/2020 10:10,25.5,26.8,NA,No,Cloudy,2*3,2,3,6,VerySmall,Natural containers,Tree holes,NA,NA,Yes,Leaves,Leaves,Yes,No,No,No,Shallow,Abrupt,None,No,None,None,No,No,No,No,No,Transparent,Complete,No,No,No,Yes,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,1,1,Multiple,Multiple,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOH02-G004,FOH02,forest,1,Rainy,12.2368522,106.877279,19/10/2019 13:14,27.6,29.8,80.7,No,Cloudy,6*6,6,6,36,VerySmall,Artificial containers,Plastic bottle,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Abrupt,Little,No,None,None,No,No,No,No,No,Grey,Partial,No,No,No,Yes,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,1,0,1,Multiple,Multiple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOH02-G061,FOH02,forest,4,Rainy,12.23672222,106.8773611,03/08/2020 09:05,24.3,26.2,NA,No,Cloudy,20*9,20,9,180,Small,Natural containers,Tree holes,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Abrupt,None,No,None,None,No,No,No,No,No,Brown,Complete,No,No,No,Yes,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Leech,No,NA,1,0,1,Multiple,Multiple,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOL01-G060,FOL01,forest,4,Rainy,12.22383333,106.8610833,03/08/2020 12:59,28,28.9,NA,No,Cloudy,100*11,100,11,1100,Small,Natural containers,Tree holes,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,No,No,Yes,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Worms,No,NA,1,1,1,Multiple,Multiple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G016,V06,village,1,Rainy,12.1806402,106.8734527,01/11/2019 10:44,34,37.9,49.3,Little,Cloudy,220*50,220,50,11000,Medium,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,High,No,None,None,No,No,No,No,No,Brown,None,Yes,No,Yes,Yes,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Not determined,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Few,Sampling with pipette. Last picture: where small larvae were found.,1,1,1,Multiple,Multiple,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,1,1,1
FIL01-G068,FIL01,fields,4,Rainy,12.1916068,106.8051287,06/08/2020 11:30,27.8,30,74.4,Little,Cloudy,40*4,40,4,160,Small,Natural containers,Tree holes,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,None,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Multiple,Multiple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G071,FIL01,fields,4,Rainy,12.1917439,106.8177709,06/08/2020 11:56,27.2,28.9,89.6,Little,Cloudy,40*5,40,5,200,Small,Natural containers,Tree holes,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Complete,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Multiple,Multiple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL04-G004,PL04,plantations,1,Rainy,12.1742861,106.8744233,01/11/2019 13:52,30.7,31.9,71.9,Medium,Cloudy,2*2,2,2,4,VerySmall,Natural containers,Bamboo holes,NA,NA,Yes,None,None,No,No,No,Organic unidentified,Shallow,Abrupt,Medium,No,None,None,No,No,No,No,No,Black,Complete,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Many aedes biting. An adult was in the bamboo,1,0,1,Multiple,Multiple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL04-G005,PL04,plantations,1,Rainy,12.1743759,106.8746024,01/11/2019 14:01,32.8,34.2,54.9,Medium,Cloudy,4*4,4,4,16,VerySmall,Natural containers,Tree holes,NA,NA,Yes,None,None,No,No,No,Organic unidentified,Shallow,Abrupt,Little,No,None,None,No,No,No,No,No,Yellow,Partial,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Shield bugs,No,Cut bamboo 1.8m high,1,1,1,Multiple,Multiple,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G009,V06,village,1,Rainy,12.1818869,106.874906,01/11/2019 10:19,30.3,33.1,58.9,Little,Sunny,1*1,1,1,1,VerySmall,Natural containers,Plants' axils and leaves,NA,NA,No,None,None,No,No,No,No,Shallow,Abrupt,None,No,None,None,No,No,No,No,No,Transparent,Complete,Yes,No,No,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sample is 3 axils of the same banana tree,1,0,1,Multiple,Multiple,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G003,V06,village,2,Dry,12.1813557,106.8752925,09/02/2020 11:44,27.3,33.2,42.6,Little,Cloudy,70*70,70,70,4900,Medium,Artificial containers,Water reservoir,NA,Clay,No,None,None,No,No,No,No,Deep,Abrupt,None,No,None,None,No,No,No,No,No,Transparent,Partial,Yes,No,No,No,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,NA,1,0,1,Multiple,Multiple,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G009,V06,village,2,Dry,12.1818339,106.8748945,09/02/2020 12:06,NA,33.7,37,Medium,Cloudy,2*1,2,1,2,VerySmall,Natural containers,Plants' axils and leaves,NA,NA,No,None,None,No,No,No,No,Shallow,Abrupt,Little,No,None,None,No,No,No,No,No,Brown,Complete,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,Not enough water in the breeding site for mesuring temperature or sampling a falcon of water,1,0,1,Multiple,Multiple,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G073,FIL01,fields,4,Rainy,12.1210477,106.8177709,06/08/2020 12:09,26.8,28.2,91.5,Little,Rainy,37*3.5,37,3.5,129.5,Small,Natural containers,Tree holes,NA,NA,No,None,None,No,No,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Multiple,Multiple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOH02-G067,FOH02,forest,4,Rainy,12.23711111,106.8774167,03/08/2020 10:21,25.1,25.7,NA,No,Cloudy,2*3,2,3,6,VerySmall,Natural containers,Tree holes,NA,NA,No,None,None,No,No,No,No,Shallow,Abrupt,Little,No,None,None,No,No,No,No,No,Brown,Complete,No,No,No,Yes,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38 cm from ground,1,0,1,Multiple,Multiple,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G036,V06,village,4,Rainy,12.1812472,106.874465,07/08/2020 09:41,24.8,28.1,83.1,Little,Cloudy,40*35,40,35,1400,Small,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud-Rocks,Yes,Yes,Yes,No,Shallow,Shallow,High,Yes,Plastic,Plastic,Yes,Yes,No,No,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,NA,1,1,1,Multiple,Multiple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH02-G061,FIH02,fields,4,Rainy,12.1529527,106.8520888,11/08/2020 08:51,29.4,29.8,71.7,Little,Cloudy,100*NA,100,10000,1000000,VeryLarge,Running water,Ditches and trenches,No,NA,Yes,Composite,Leaves-Mud-Rocks,Yes,Yes,Yes,No,Deep,Shallow,Little,Yes,Multiple,Plastic-oil,Yes,No,Yes,No,No,Brown,Complete,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,50;75,Yes,Odonata,Odonata,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Few predators and few larvae,1,0,1,Multiple,Multiple,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V05-G061,V05,village,4,Rainy,12.1883223,106.8423593,10/08/2020 09:27,33.1,33,71.7,Little,Sunny,294*448,294,448,131712,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,No,None,None,No,No,No,No,Shallow,Shallow,High,No,None,None,No,No,No,No,No,Brown,None,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Other,Coleoptera,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,NA,1,0,0,None,None,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1
PL01-G031,PL01,plantations,4,Rainy,12.18452778,106.7726389,06/08/2020 14:03,29.6,28.4,99.9,Little,Rainy,NA*300,10000,300,3000000,VeryLarge,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Little,Yes,Plastic,Plastic,Yes,No,No,No,No,Grey,Partial,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Emerged,Emerged,No,Yes,No,No,5;25,Yes,Other,Coleoptera,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH02-G032,FIH02,fields,4,Rainy,12.1520724,106.852047,11/08/2020 09:06,29.1,33.8,64.8,No,Cloudy,230*50,30,50,1500,Small,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Little,Yes,Oil,Oil,No,No,Yes,No,No,Grey,Partial,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,5;25,Yes,Other,Coleoptera,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL03-G005,FIL03,plantations,1,Rainy,12.1796238,106.916917,15/10/2019 10:42,28.4,32.5,57,No,Sunny,26*15,26,15,390,Small,Stagnant temporary water bodies,Road tracks,NA,NA,Yes,None,Rocks,No,No,Yes,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,Multiple,Floating-Algae,No,No,Yes,Yes,<5,Yes,Other,Coleoptera,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,One woman passing by,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G007,FIH03,fields,2,Dry,12.1763567,106.8719198,08/02/2020 17:17,26.2,28.7,58.4,Medium,Sunny,100*NA,100,10000,1000000,VeryLarge,Stagnant temporary water bodies,Ponds,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,High,No,None,None,No,No,No,No,No,Brown,None,No,Yes,No,No,No,Yes,Yes,No,No,No,No,None,None,No,No,No,No,NA,Yes,Other,Coleoptera,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Gerris,Few,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G006,V06,village,1,Rainy,12.1812837,106.8747341,01/11/2019 09:20,23,28.4,75.4,Little,Cloudy,85*85,85,85,7225,Medium,Artificial containers,Water reservoir,NA,Clay,No,None,None,No,No,No,No,Shallow,Abrupt,None,No,None,None,No,No,No,No,No,Transparent,Partial,Yes,No,No,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Yes,Other,Coleoptera,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,None,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOL01-G003,FOL01,forest,1,Rainy,12.2240244,106.8612076,19/10/2019 16:18,27.8,28.8,91.1,No,Cloudy,50*37,50,37,1850,Small,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,Little,Yes,Oil,Oil,No,No,Yes,No,No,Green,Partial,No,No,No,Yes,NA,NA,NA,NA,NA,NA,Yes,Algae,Submerged,Yes,No,No,Yes,<5,Yes,Other,Fish,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Drying stream,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOL01-G062,FOL01,forest,4,Rainy,12.22338889,106.8619167,03/08/2020 13:58,27,30.4,NA,No,Cloudy,122*NA,122,10000,1220000,VeryLarge,Running water,Streams,No,NA,Yes,Leaves,Leaves-rocks,Yes,No,Yes,No,Deep,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,No,No,Yes,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,5;25,Yes,Other,Fish,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Lots of current,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOL01-G001,FOL01,forest,1,Rainy,12.2233923,106.8619865,19/10/2019 15:48,27.8,29.9,NA,No,Cloudy,75*NA,75,10000,750000,VeryLarge,Running water,Streams,No,NA,Yes,Composite,Leaves-rocks,Yes,No,Yes,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,No,No,Yes,NA,NA,NA,NA,NA,NA,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,<5,No,Other,Fish,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Mayfly,No,No,No,Yes,No,No,No,No,Mayfly indicates unpolluted and clean water,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOL01-G004,FOL01,forest,1,Rainy,12.2240984,106.8611628,19/10/2019 16:22,26.8,28.7,93.5,No,Cloudy,50*45,50,45,2250,Medium,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud-Rocks,Yes,Yes,Yes,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,No,No,Yes,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Yes,Other,Fish,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Gerris,No,Part of a stream mostly dry,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL01-G006,PL01,plantations,1,Rainy,12.1844524,106.7728449,02/11/2019 10:22,26.4,30.2,77.9,Little,Cloudy,220*110,220,110,24200,Medium,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,Medium,Yes,Multiple,Plastic-oil,Yes,No,Yes,No,No,Brown,Complete,No,No,Yes,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Yes,Other,Fish,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,"Ditch next to the road, in between two rubber trees plantations",0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
